Master ID,Source Report,Original ID,Title,Area,Severity,Current Status,Duplicate Of,Owner Impact,Trading Impact,Data Impact,Files Likely Touched,Fix Lane,Acceptance Test,Production Verification Needed
MQ-P0-00,Owner observation 2026-07-09 + forensic audit,P0-00,SENSEX 77100 PUT silent entry/market/SL mutation (plan immutability),F&O signals,P0,FIXED_PROD_VERIFIED,,Owner saw a live plan silently rewrite entry/SL/market after trigger,Plan values drove paper opens while mutating every poll,DB premium columns overwritten every cycle by live re-projection,artifacts/api-server/src/lib/optionSignalLifecycle.ts; optionSignals.ts; lib/db/src/schema/optionSignals.ts; artifacts/scanner/src/pages/options.tsx; lib/api-spec/openapi.yaml,P0-00,optionSignalPlanImmutability.test.ts 5/5 (one-shot lock; strike guard; TRIGGERED untouched; two-poll stability; audit CHECK),YES - publish + /api/build-info + live SENSEX fixture card shows LOCKED PLAN vs LIVE MTM
MQ-P0-02,quant_grade_deep_audit_v2.md,P0-2,FINNIFTY previous-close / 52W contamination,Index data,P0,OUTDATED_AUDIT_FINDING,,Wrong prev-close/52W shown for FINNIFTY,Baseline math contaminated where FINNIFTY appears,Cross-instrument contamination,api-server index quote path; canonical index facts,Lane 1,FINNIFTY surfaces suppressed or sourced from canonical IndexQuoteFact with parity test,YES
MQ-P0-03,quant_grade_deep_audit_v2.md,P0-3,MIDCAP proxy level leak,Index data,P0,FIXED_DEV_VERIFIED,,Proxy levels shown as real MIDCAP levels — FIXED: buildItem proxyLevelBlocked guard suppresses 13 level fields when proxy/live scale gap >1%,Levels could anchor decisions — RESOLVED: levels now null when blocked,Proxy data unlabeled — FIXED: proxyLevelBlocked+Reason stamped,indicesBoard.ts buildItem (proxyPrevClose capture + scale guard after Kite override),Lane 1,canonicalDataParity.test.ts 11/11 — proxyLevelBlocked=true; 13 fields null; dimensionless fields preserved; no false-block on co-moving proxies,YES
MQ-P0-04,quant_grade_deep_audit_v2.md,P0-4,F&O signal percentage baseline mismatch,F&O signals,P0,FIXED_DEV_VERIFIED,,Change % differs — PARTIAL: server emits spotChangePctVsPrevClose (canonical) + spotPrevClose alongside old open-baseline spotChangePercent,Signal context misleading — server layer fixed; frontend display migration deferred to Lane 2,Baseline inconsistent — FIXED server-side: prevClose=daily.close[dn-2],optionSignals.ts (Ctx.prevClose + spotChangePctVsPrevClose + spotPrevClose emission),Lane 1,canonicalDataParity.test.ts 7/7 — prevClose computed from [dn-2]; spotChangePctVsPrevClose guards null/zero; spotChangePercent preserved for internal use,YES
MQ-P0-05,quant_grade_deep_audit_v2.md,P0-5,Wrong expiry dates / hardcoded weekday expiry,Contracts,P0,OPEN_P0,,Expiry shown/selected can be wrong on shifted weeks,Wrong contract selection risk,Hardcoded weekday assumptions,expiry resolution helpers; kiteFnoInstruments,Lane 1,Expiry always from live contract master; holiday-shift test,YES
MQ-P0-06,quant_grade_deep_audit_v2.md,P0-6,Premium stop vs spot-stop disclosure,F&O signals,P0,PARTIAL_FIX,,Owner cannot tell which stop engine is active,Stop semantics ambiguity,Display ambiguity,options card; optionSignals fields,Lane 2,activeStopMethod surfaced on card; P0-00 planSnapshot now persists premium plan separately,YES
MQ-P0-07,FNO_TRIGGER_SEMANTICS_HONESTY_REPORT.md,P0-7,Old 15-min-close trigger text on touch semantics,F&O signals,P0,PARTIAL_FIX,,Old rows still show stale close-confirmed wording,Trigger expectation mismatch,Historical text rows stale,trigger renderer; old row normalization,Lane 2,Renderer driven by structured semantics field for ALL rows incl. legacy,YES
MQ-P0-08,quant_grade_deep_audit_v2.md,P0-8,US 10Y yield 10x decimal parse issue,Macro data,P0,OPEN_P0,,10Y yield off by 10x,None direct (display),Parse error,global artifact macro fetchers,Lane 5,Parse unit test with live-format fixture,YES
MQ-P0-09,quant_grade_deep_audit_v2.md,P0-9,Net-vs-Seed ledger/reconciliation issue,Paper ledger,P0,NEEDS_OWNER_APPROVAL,,Net P&L vs seed capital confusing/wrong,Ledger trust,Reconciliation drift,paperAccount.ts; reports,Lane 3,Ledger invariant drift alert >= Rs.1; Net-vs-Seed replaced,YES
MQ-P0-10,USER_FACING_CORE_TABS_DEEP_AUDIT_REPORT.md,P0-10,Blank charts despite available data,Charts,P0,OPEN_P0,,Charts render empty with data present,None,Display reliability,shared chartSeries contract; scanner chart components,Lane 4,Playwright SVG path/rect/circle assertion when data exists,YES
MQ-P0-11,USER_FACING_CORE_TABS_DEEP_AUDIT_REPORT.md,P0-11,F&O ban unavailable rendered as No stocks,F&O data,P0,OPEN_P0,,Unavailable feed reads as empty ban list,Ban-state decisions on false empty,Unavailable-vs-empty conflation,fno-ban-widget; ban feed route,Lane 5,Union state UNAVAILABLE vs EMPTY vs LIST rendered distinctly,YES
MQ-P0-12,Quant-Grade Audit 2026-07-08 (docs/quant-grade-audit-2026-07-08.md),P0-12,Static lot-size maps in live paths / contract master drift risk,Contracts,P0,FIXED_DEV_VERIFIED,,Static maps corrected + strike step now instrument-master-first with STRIKE_STEP_DRIFT alarm; lot-size resolution from Kite already live,Wrong lot size risk on contract revision — reduced; drift now observable via log alarm,Drift vs exchange master — strike step: instrument_master source now primary; static_map_fallback only on inference failure,kiteOptionChain.ts (inferStrikeStep-first + drift alarm); optionChain.ts (strikeStepSource field + NSE path stamps inferred_from_nse),Lane 1,canonicalDataParity.test.ts 8/8 — inferredStep before staticStep; STRIKE_STEP_DRIFT alarm; instrument_master preferred; strikeStepSource on OcResponse,YES
MQ-P1-01,quant_grade_deep_audit_v2.md,P1-1,Max pain sign convention,Options analytics,P1,OPEN_P1,,Max pain direction can read inverted,Analytics only,Sign convention,optionSnapshotAnalytics.ts,Lane 5,Sign convention unit test vs known chain fixture,NO
MQ-P1-02,quant_grade_deep_audit_v2.md,P1-2,OI share denominator mismatch,Options analytics,P1,OPEN_P1,,OI % shares inconsistent,Analytics only,Denominator mismatch,oiLab.ts; analytics,Lane 5,Single denominator definition + test,NO
MQ-P1-03,quant_grade_deep_audit_v2.md,P1-3,EMA200 cross-page parity,Indicators,P1,OPEN_P1,,EMA200 differs across pages,Indicator trust,Divergent computation,indicatorsShared; scanner pages,Lane 5,Cross-page parity test,NO
MQ-P1-04,quant_grade_deep_audit_v2.md,P1-4,Risk-free rate central config,Options math,P1,OPEN_P1,,Scattered r values,Greeks drift,Config duplication,optionStrategies; greeks helpers,Lane 5,Single RISK_FREE_RATE constant consumed everywhere,NO
